overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
1,2022,Atlanta Dream,Rhyne Howard,,Kentucky,1,34,2.9,0.11,31.4,16.2,4.5,2.8
2,2022,Indiana Fever,NaLyssa Smith,,Baylor,1,32,0,-0.001,30.7,13.5,7.9,1.4
3,2022,Washington Mystics,Shakira Austin,,Ole Miss,1,36,3.1,0.16,21.6,8.7,6.5,0.9
4,2022,Indiana Fever,Emily Engstler,,Louisville,1,35,0.4,0.024,18.2,5.2,5.2,1.5
5,2022,New York Liberty,Nyara Sabally,,Oregon,0,,,,,,,
6,2022,Indiana Fever,Lexie Hull,,Stanford,1,26,-0.4,-0.043,12.8,3.8,1.5,0.7
7,2022,Dallas Wings,Veronica Burton,,Northwestern,1,36,0.9,0.065,15.2,2.6,1.5,1.9
8,2022,Minnesota Lynx,Mya Hollingshed,,Colorado,0,,,,,,,
9,2022,Los Angeles Sparks,Rae Burrell,,Tennessee,1,3,-0.1,-0.111,14.7,1.7,1,0.3
10,2022,Indiana Fever,Queen Egbo,,Baylor,1,33,0,0.003,21.8,7.2,6.3,0.9
11,2022,Las Vegas Aces,Kierstan Bell,,Florida Gulf Coast,1,21,-0.1,-0.024,5.8,1.3,0.9,0.3
12,2022,Connecticut Sun,Nia Clouden,,Michigan State,1,28,0.4,0.062,8.9,2.1,0.8,0.8
13,2022,Minnesota Lynx,Khayla Pointer,,LSU,1,10,-0.1,-0.092,5.8,2.2,0.8,0.2
14,2022,Washington Mystics,Christyn Williams,,UConn,0,,,,,,,
15,2022,Atlanta Dream,Naz Hillmon,,Michigan,1,34,1.5,0.087,19.8,4.4,5.1,1.2
16,2022,Los Angeles Sparks,Kianna Smith,,Louisville,1,11,-0.2,-0.054,10.3,2.6,0.8,0.5
17,2022,Seattle Storm,Elissa Cunane,,NC State,1,3,0,0.012,3.3,0.7,1.7,0
18,2022,Seattle Storm,Lorela Cubaj,,Georgia Tech,1,11,0,-0.013,8,0.7,2.1,0.4
19,2022,Los Angeles Sparks,Olivia Nelson-Ododa,,UConn,1,30,0.5,0.044,14.5,4,2.9,0.4
20,2022,Indiana Fever,Destanni Henderson,,South Carolina,1,36,-0.3,-0.018,16.4,5.3,1.6,2.5
21,2022,Seattle Storm,Evina Westbrook,,UConn,1,20,0,0.009,10.3,2.8,1,1.2
22,2022,Minnesota Lynx,Kayla Jones,,NC State,0,,,,,,,
23,2022,Las Vegas Aces,Aisha Sheppard,,Virginia Tech,1,23,-0.2,-0.04,7.6,1.5,0.6,0.3
24,2022,Connecticut Sun,Jordan Lewis,,Baylor,0,,,,,,,
25,2022,Indiana Fever,Meshya Williams-Holliday,,Jackson State University,0,,,,,,,
26,2022,Phoenix Mercury,Maya Dodson,,Notre Dame,0,,,,,,,
27,2022,Los Angeles Sparks,Amy Atwell,,Hawaii,1,4,-0.2,-0.274,8,0.8,0.5,0.5
28,2022,Minnesota Lynx,Hannah Sjerven,,South Dakota,1,3,0,-0.09,3,0,0,0
29,2022,New York Liberty,Sika Koné,Mali,,0,,,,,,,
30,2022,Dallas Wings,Jasmine Dickey,,University of Delaware,1,20,-0.3,-0.143,4.7,1.1,0.6,0.1
31,2022,Dallas Wings,Jazz Bond,,University of North Florida,0,,,,,,,
32,2022,Phoenix Mercury,Macee Williams,,IUPUI,0,,,,,,,
33,2022,Seattle Storm,Jade Melbourne,Australia,,0,,,,,,,
34,2022,Indiana Fever,Ali Patberg,,Indiana,0,,,,,,,
35,2022,Las Vegas Aces,Faustine Aifuwa,,LSU,0,,,,,,,
36,2022,Connecticut Sun,Kiara Smith,,Florida,0,,,,,,,
1,2021,Dallas Wings,Charli Collier,,Texas,2,45,0.5,0.046,9.4,2.9,2.5,0.2
2,2021,Dallas Wings,Awak Kuier,Finland,,2,49,0.5,0.038,11.4,2.6,2.5,0.8
3,2021,Atlanta Dream,Aari McDonald,,Arizona,2,66,2.3,0.068,20.7,8.9,2,2.3
4,2021,Indiana Fever,Kysre Gondrezick,,West Virginia,1,19,-0.6,-0.129,9.1,1.9,1,0.9
5,2021,Dallas Wings,Chelsea Dungee,,Arkansas,1,14,-0.3,-0.159,4.6,0.6,0.2,0.1
6,2021,New York Liberty,Michaela Onyenwere,,UCLA,2,66,1.1,0.038,17.8,6.6,2.5,0.5
7,2021,Los Angeles Sparks,Jasmine Walker,,Alabama,2,34,-1,-0.134,8.9,1.5,1.4,0.2
8,2021,Chicago Sky,Shyla Heal,Australia,,1,4,-0.3,-0.41,7.8,2,0.8,0.8
9,2021,Minnesota Lynx,Rennia Davis,,Tennessee,1,8,-0.1,-0.134,5.4,1.3,1,0.1
10,2021,Los Angeles Sparks,Stephanie Watts,,UNC,1,6,-0.1,-0.061,14,2.5,3.7,0.5
11,2021,Seattle Storm,Aaliyah Wilson,,Texas A&M,1,14,-0.5,-0.165,8.5,1.1,0.9,0.6
12,2021,Las Vegas Aces,Iliana Rupert,France,,1,17,0.5,0.096,13.1,3.8,2.3,0.9
13,2021,Dallas Wings,Dana Evans,,Louisville,2,62,0.7,0.045,9.7,3.8,0.6,1.1
14,2021,Las Vegas Aces,Destiny Slocum,,Arkansas,2,24,0.1,0.018,7.3,1.5,1,0.7
15,2021,Atlanta Dream,Raquel Carrera Quintana,Spain,,0,,,,,,,
16,2021,Chicago Sky,Natasha Mack,,Oklahoma State,1,4,0,0.065,4.5,1.5,1,0
17,2021,New York Liberty,DiDi Richards,,Baylor,2,45,0.1,0.009,11.1,2.3,1.3,1
18,2021,Seattle Storm,Kiana Williams,,Stanford,2,14,-0.1,-0.092,4.6,0.6,0.4,0.5
19,2021,Indiana Fever,Unique Thompson,,Auburn,0,,,,,,,
20,2021,Connecticut Sun,DiJonai Carrington,,Baylor,2,60,1.3,0.059,14.2,5.2,2.6,0.8
21,2021,Connecticut Sun,Micaela Kelly,,Central Michigan University,0,,,,,,,
22,2021,Los Angeles Sparks,Arella Guirantes,,Rutgers University,1,25,-0.4,-0.051,11.6,3.2,1.3,0.6
23,2021,Seattle Storm,N'dea Jones,,Texas A&M,0,,,,,,,
24,2021,Indiana Fever,Trinity Baptiste,,Arizona,0,,,,,,,
25,2021,New York Liberty,Valerie Higgins,,University of the Pacific,0,,,,,,,
26,2021,Indiana Fever,Chelsey Perry,,University of Tennessee at Martin,1,6,-0.1,-0.115,6.7,2.2,1,0.3
27,2021,Atlanta Dream,Lindsey Pulliam,,Northwestern,0,,,,,,,
28,2021,Los Angeles Sparks,Ivana Raca,,Wake Forest,0,,,,,,,
29,2021,New York Liberty,Marine Fauthoux,France,,0,,,,,,,
30,2021,Connecticut Sun,Aleah Goodman,,Oregon State,1,1,0,0.206,3,0,0,1
31,2021,Indiana Fever,Florencia Chagas,Argentina,,0,,,,,,,
32,2021,Phoenix Mercury,Ciera Johnson,,Texas A&M,0,,,,,,,
33,2021,Indiana Fever,Maya Caldwell,,Georgia,1,9,0.7,0.138,23.8,10.9,2.4,2.2
34,2021,Los Angeles Sparks,Aina Ayuso,Spain,,0,,,,,,,
35,2021,Seattle Storm,Natalie Kucowski,,Lafayette College,0,,,,,,,
36,2021,Las Vegas Aces,Kionna Jeter,,Towson University,0,,,,,,,
1,2020,New York Liberty,Sabrina Ionescu,,Oregon,3,69,5.9,0.11,31,15,6.3,6.1
2,2020,Dallas Wings,Satou Sabally,,Oregon,3,44,2.4,0.086,25.3,12.5,6.3,2.5
3,2020,Indiana Fever,Lauren Cox,,Baylor,2,40,0.6,0.053,12.2,3,3.1,0.8
4,2020,Atlanta Dream,Chennedy Carter,,Texas A&M,3,51,0.9,0.035,21.2,12.7,1.9,2.7
5,2020,Dallas Wings,Bella Alarie,,Princeton,2,53,1.4,0.076,13.5,2.6,3.1,0.5
6,2020,Minnesota Lynx,Mikiah Herbert Harrigan,,South Carolina,2,22,0.2,0.029,10.7,3.6,2.2,0.3
7,2020,Dallas Wings,Tyasha Harris,,South Carolina,3,88,1.6,0.044,16.9,5.2,1.2,2.7
8,2020,Chicago Sky,Ruthy Hebard,,Oregon,3,76,3.7,0.14,13.9,4.7,3.4,0.6
9,2020,New York Liberty,Megan Walker,,UConn,3,59,-1.2,-0.066,12.6,3.9,1.3,0.6
10,2020,Phoenix Mercury,Jocelyn Willoughby,,Virginia,2,33,-0.1,-0.006,15.3,4.8,2.2,0.7
11,2020,Seattle Storm,Kitija Laksa,Latvia,,0,,,,,,,
12,2020,New York Liberty,Jazmine Jones,,Louisville,3,55,-0.3,-0.015,16.8,6.9,2.7,1.4
13,2020,New York Liberty,Kylee Shook,,Louisville,2,50,0.4,0.02,17.1,5,3.5,1
14,2020,Indiana Fever,Kathleen Doyle,,Iowa,1,18,-0.7,-0.189,8.6,1.5,0.8,1.1
15,2020,New York Liberty,Leaonna Odom,,Duke,2,40,1.1,0.063,16.8,4.4,1.8,0.6
16,2020,Minnesota Lynx,Crystal Dangerfield,,UConn,3,85,3.9,0.079,23.1,8.9,2,2.9
17,2020,Atlanta Dream,Brittany Brewer,,Texas Tech,1,5,0.1,0.065,6.6,0.8,1,0
18,2020,Phoenix Mercury,Te'a Cooper,,Baylor,2,51,0.3,0.012,20.1,8.2,1.5,1.6
19,2020,Seattle Storm,Joyner Holmes,,Texas,3,50,-0.5,-0.044,8.5,2.4,1.8,0.6
20,2020,Los Angeles Sparks,Beatrice Mompremier,,Miami (FL),3,74,1.2,0.074,8.6,2,2.8,0.2
21,2020,Dallas Wings,Luisa Geiselsoder,Germany,,0,,,,,,,
22,2020,Los Angeles Sparks,Leonie Fiebich,Germany,,0,,,,,,,
23,2020,Connecticut Sun,Kaila Charles,,Maryland,3,52,2.1,0.097,16.7,4.7,2.7,1
24,2020,Washington Mystics,Jaylyn Agnew,,Creighton,1,12,-0.2,-0.093,5.9,1.3,0.4,0.3
25,2020,Atlanta Dream,Mikayla Pivec,,Oregon State,0,,,,,,,
26,2020,New York Liberty,Erica Ogwumike,,Rice University,0,,,,,,,
27,2020,Atlanta Dream,Kobi Thornton,,Clemson,0,,,,,,,
28,2020,Indiana Fever,Kamiah Smalls,,James Madison University,2,10,0.2,0.059,13.4,3.1,1.3,2
29,2020,Phoenix Mercury,Stella Johnson,,Rider University,2,15,0.5,0.154,8.7,3.9,1,0.9
30,2020,Chicago Sky,Japreece Dean,,UCLA,0,,,,,,,
31,2020,Seattle Storm,Haley Gorecki,,Duke,1,3,-0.1,-0.375,2,0,0.7,0
32,2020,Chicago Sky,Kiah Gillespie,,Florida State,0,,,,,,,
33,2020,Las Vegas Aces,Lauren Manis,,Holy Cross,0,,,,,,,
34,2020,Los Angeles Sparks,Tynice Martin,,West Virginia,0,,,,,,,
35,2020,Connecticut Sun,Juicy Landrum,,Baylor,0,,,,,,,
36,2020,Washington Mystics,Sug Sutton,,Texas,1,12,0,-0.012,9.4,2.8,0.7,1
1,2019,Las Vegas Aces,Jackie Young,,Notre Dame,4,122,12.4,0.142,28.5,11.5,4,3.7
2,2019,New York Liberty,AD Durr,,Louisville,2,43,0.9,0.043,19.7,8.1,1.4,1.4
3,2019,Indiana Fever,Teaira McCowan,,Mississippi State,4,121,10.9,0.163,22.2,10.8,8.3,0.7
4,2019,Chicago Sky,Katie Lou Samuelson,,UConn,4,101,2.8,0.053,20.8,6.5,2.6,1.4
5,2019,Dallas Wings,Arike Ogunbowale,,Notre Dame,4,117,10.4,0.111,32.1,19.8,2.9,3.4
6,2019,Minnesota Lynx,Napheesa Collier,,UConn,4,89,12.7,0.17,33.4,14.6,7,2.9
7,2019,Los Angeles Sparks,Kalani Brown,,Baylor,3,39,1.2,0.109,11.4,4.5,2.8,0.4
8,2019,Phoenix Mercury,Alanna Smith,,Stanford,4,64,0,0.001,10.4,3,2.4,0.7
9,2019,Connecticut Sun,Kristine Anigwe,,California,4,64,0.7,0.044,10.1,3,2.5,0.3
10,2019,Washington Mystics,Kiara Leslie,,NC State,2,28,0.1,0.007,17.9,4.6,2.8,0.8
11,2019,Atlanta Dream,Brianna Turner,,Notre Dame,4,118,9.7,0.12,27.4,5.7,7.3,1.6
12,2019,Seattle Storm,Ezi Magbegor,Melbourne Boomers (Australia),,3,85,6.9,0.177,18.4,7.8,4.2,0.9
13,2019,Phoenix Mercury,Sophie Cunningham,,Missouri,4,111,4.6,0.086,19.2,6.5,2.3,1.1
14,2019,New York Liberty,Han Xu,Xinjiang Magic Deer (China),,2,50,2,0.116,13.6,6.5,2.6,0.6
15,2019,Chicago Sky,Chloe Jackson,,Baylor,1,8,-0.2,-0.245,4,0.6,0.8,0.5
16,2019,Minnesota Lynx,Jessica Shepard,,Notre Dame,3,64,3.2,0.1,20.1,5.7,5.8,2.6
17,2019,Dallas Wings,Megan Gustafson,,Iowa,4,79,1.5,0.084,9,3.2,2.3,0.3
18,2019,Minnesota Lynx,Natisha Hiedeman,,Marquette,4,110,7.6,0.141,19.6,7.1,1.8,2.3
19,2019,Los Angeles Sparks,Marina Mabrey,,Notre Dame,4,116,4,0.064,21.4,10.4,3,2.5
20,2019,Minnesota Lynx,Cierra Dillard,,Buffalo,0,,,,,,,
21,2019,Connecticut Sun,Bridget Carleton,,Iowa State,4,98,3.7,0.08,18.7,4.7,2.4,1.4
22,2019,Dallas Wings,Kennedy Burke,,UCLA,4,92,1.7,0.057,13.3,4.9,1.5,0.7
23,2019,Atlanta Dream,Maite Cazorla,,Oregon,1,31,-0.2,-0.014,15.4,3,0.7,1.6
24,2019,Seattle Storm,Anriel Howard,,Mississippi State,1,3,0,-0.028,6.7,1.7,1,0
25,2019,Indiana Fever,Paris Kea,,UNC,2,22,-0.3,-0.047,10.2,4.8,1.2,1
26,2019,New York Liberty,Megan Huff,,Utah,1,7,-0.1,-0.323,2.3,0,0.6,0.1
27,2019,Chicago Sky,Maria Conde,Wisła Can-Pack Kraków (Poland),,0,,,,,,,
28,2019,Indiana Fever,Caliya Robinson,,Georgia,0,,,,,,,
29,2019,Dallas Wings,Morgan Bertsch,,UC-Davis,0,,,,,,,
30,2019,Minnesota Lynx,Kenisha Bell,,Minnesota,1,3,0,-0.162,3.7,0,0.3,0.3
31,2019,Los Angeles Sparks,Ángela Salvadores,Ensino (Spain),,0,,,,,,,
32,2019,Phoenix Mercury,Arica Carter,,Louisville,1,6,-0.1,-0.229,4,0.3,0,0.2
33,2019,Connecticut Sun,Regan Magarity,,Virginia Tech,0,,,,,,,
34,2019,Washington Mystics,Sam Fuehring,,Louisville,0,,,,,,,
35,2019,Atlanta Dream,Li Yueru,Guangdong Vermilion Birds (China),,1,16,0,0.008,5.1,1.8,1.5,0.1
36,2019,Seattle Storm,Macy Miller,,South Dakota State,0,,,,,,,
1,2018,Las Vegas Aces,A'ja Wilson,,South Carolina,5,149,23.8,0.209,30.5,19.1,8.4,2.3
2,2018,Indiana Fever,Kelsey Mitchell,,Ohio State,5,153,5.4,0.048,29.1,15.9,2,3
3,2018,Chicago Sky,Diamond DeShields,Çukurova (Turkey),Tennessee,5,143,4.5,0.047,26.8,13.2,4.2,2.2
4,2018,Chicago Sky,Gabby Williams,,UConn,4,125,4.3,0.062,22.2,7,3.9,2.2
5,2018,Seattle Storm,Jordin Canada,,UCLA,5,144,4.9,0.059,22.9,7.7,2.1,4.4
6,2018,Dallas Wings,Azura Stevens,,UConn,5,121,7.5,0.117,21.1,9,4.4,1
7,2018,Washington Mystics,Ariel Atkins,,Texas,5,150,13.4,0.129,27.6,13.4,2.8,2.3
8,2018,Indiana Fever,Victoria Vivians,,Mississippi State,4,106,-1,-0.015,24.6,8.3,3.2,1.6
9,2018,Connecticut Sun,Lexie Brown,,Duke,5,123,2.9,0.056,17.2,5.4,1.5,1.5
10,2018,New York Liberty,Kia Nurse,,UConn,4,121,3.4,0.043,26.3,11,2.8,2
11,2018,Los Angeles Sparks,Maria Vadeeva,Dynamo Kursk (Russia),,2,40,1.6,0.167,9.6,5.2,2.8,0.5
12,2018,Phoenix Mercury,Marie Gulich,,Oregon State,3,66,0,0.002,8.8,2.5,1.9,0.4
13,2018,Las Vegas Aces,Jaime Nared,,Tennessee,2,32,-0.1,-0.014,8.9,2.5,1.4,0.4
14,2018,Indiana Fever,Stephanie Mavunga,,Ohio State,3,59,1,0.078,8.4,2.5,2.5,0.2
15,2018,Atlanta Dream,Monique Billings,,UCLA,5,137,5.6,0.085,19.3,6.2,6,0.8
16,2018,Atlanta Dream,Kristy Wallace,,Baylor,1,29,0.8,0.056,20.8,6.6,2.3,2.2
17,2018,Minnesota Lynx,JiSu Park,Cheongju KB Stars (South Korea),,3,82,0.1,0.003,9.8,1.9,2.2,0.7
18,2018,Dallas Wings,Loryn Goodwin,,Oklahoma State,0,,,,,,,
19,2018,Washington Mystics,Myisha Hines-Allen,,Louisville,5,125,6.2,0.11,17.9,8.5,5,1.6
20,2018,Phoenix Mercury,Tyler Scaife,,Rutgers University,0,,,,,,,
21,2018,Phoenix Mercury,Raisa Musina,UMMC Ekaterinburg (Russia),,0,,,,,,,
22,2018,New York Liberty,Mercedes Russell,,Tennessee,5,115,6.6,0.126,18.3,5.2,4.4,0.9
23,2018,Los Angeles Sparks,Shakayla Thomas,,Florida State,0,,,,,,,
24,2018,Minnesota Lynx,Kahlia Lawrence,,Mercer University,0,,,,,,,
25,2018,Las Vegas Aces,Raigyne Louis,,LSU,1,2,-0.1,-0.165,10.5,3,2,0.5
26,2018,Phoenix Mercury,Imani Wright,,Florida State,1,1,0,-1.127,1,0,0,0
27,2018,Atlanta Dream,Mackenzie Engram,,Georgia,0,,,,,,,
28,2018,Chicago Sky,Amarah Coleman,,DePaul,0,,,,,,,
29,2018,Seattle Storm,Teana Muldrow,,West Virginia,1,4,0,-0.095,2.3,0,0.3,0
30,2018,Dallas Wings,Natalie Butler,,George Mason,0,,,,,,,
31,2018,Washington Mystics,Rebecca Greenwell,,Duke,0,,,,,,,
32,2018,Las Vegas Aces,Jill Barta,,Gonzaga,0,,,,,,,
33,2018,Connecticut Sun,Mikayla Cowling,,California,0,,,,,,,
34,2018,New York Liberty,Leslie Robinson,,Princeton,0,,,,,,,
35,2018,Los Angeles Sparks,Julia Reisingerová,Femeni Sant Adrià (Spain),,0,,,,,,,
36,2018,Minnesota Lynx,Carlie Wagner,,Minnesota,0,,,,,,,
1,2017,San Antonio Stars,Kelsey Plum,,Washington,5,158,11.1,0.106,26.7,12.4,2.5,3.9
2,2017,Chicago Sky,Alaina Coates,,South Carolina,4,83,2.3,0.114,9.7,3,2.8,0.3
3,2017,Dallas Wings,Evelyn Akhator,,Kentucky,1,15,-0.2,-0.107,4.1,0.9,0.6,0
4,2017,Dallas Wings,Allisha Gray,,South Carolina,6,180,15.6,0.121,28.7,11.7,4.2,2
5,2017,San Antonio Stars,Nia Coffey,,Northwestern,6,146,0.5,0.008,16.1,5.1,3,0.6
6,2017,Washington Mystics,Shatori Walker-Kimbrough,,Maryland,6,153,6,0.094,16.6,6,1.4,1.1
7,2017,Atlanta Dream,Brittney Sykes,,Syracuse,6,182,7.8,0.066,25.9,11.1,3.9,2.5
8,2017,Connecticut Sun,Brionna Jones,,Maryland,6,166,16.9,0.221,18.4,8.7,4.1,0.8
9,2017,Chicago Sky,Tori Jankoska,,Michigan State,0,,,,,,,
10,2017,Dallas Wings,Kaela Davis,,South Carolina,5,102,-2.7,-0.065,16.2,5.5,1.8,1.4
11,2017,Los Angeles Sparks,Sydney Wiese,,Oregon State,5,117,1.7,0.036,15.9,4,1.2,1.1
12,2017,Minnesota Lynx,Alexis Jones,,Baylor,4,81,0.2,0.01,9.1,3.3,0.8,1
13,2017,Connecticut Sun,Shayla Cooper,,Ohio State,0,,,,,,,
14,2017,New York Liberty,Lindsay Allen,,Notre Dame,5,114,2.9,0.068,15.1,3.8,1.4,2.7
15,2017,Seattle Storm,Alexis Peterson,,Syracuse,1,17,-0.3,-0.112,7.1,2.1,1.2,0.8
16,2017,Connecticut Sun,Leticia Romero,,Florida State,1,21,0,-0.007,7,1.1,0.8,1.1
17,2017,Indiana Fever,Erica McCall,,Stanford,5,122,0.9,0.026,11.3,2.9,2.8,0.3
18,2017,Washington Mystics,Jennie Simms,,Old Dominion,2,37,0.1,0.008,11,2.8,1.8,0.8
19,2017,Atlanta Dream,Jordan Reynolds,,Tennessee,0,,,,,,,
20,2017,Indiana Fever,Feyonda Fitzgerald,,Temple,1,2,0,-0.191,4,0,2,0.5
21,2017,Chicago Sky,Chantel Osahor,,Washington,0,,,,,,,
22,2017,Indiana Fever,Ronni Williams,,Florida,0,,,,,,,
23,2017,Dallas Wings,Breanna Lewis,,Kansas State,2,19,-0.4,-0.229,4.1,0.7,0.8,0.1
24,2017,Minnesota Lynx,Lisa Berkani,USO Mondeville (France),,0,,,,,,,
25,2017,San Antonio Stars,Schaquilla Nunn,,Tennessee,0,,,,,,,
26,2017,Dallas Wings,Saniya Chong,,UConn,2,38,0.2,0.017,10.7,2.5,0.9,1
27,2017,Washington Mystics,Mehryn Kraker,,Green Bay,0,,,,,,,
28,2017,Connecticut Sun,Jessica January,,DePaul,0,,,,,,,
29,2017,Phoenix Mercury,Alexis Prince,,Baylor,3,22,0.2,0.063,6.9,2.3,1,0.3
30,2017,Seattle Storm,Lanay Montgomery,,West Virginia,1,7,0,-0.045,4,0.9,0.7,0
31,2017,Atlanta Dream,Oderah Chidom,,Duke,0,,,,,,,
32,2017,Indiana Fever,Adrienne Motley,,Miami (FL),0,,,,,,,
33,2017,Chicago Sky,Makayla Epps,,Kentucky,1,17,-0.3,-0.207,3.8,0.6,0.2,0.4
34,2017,New York Liberty,Kai James,,Florida State,0,,,,,,,
35,2017,Los Angeles Sparks,Saicha Grant-Allen,,Dayton,0,,,,,,,
36,2017,Minnesota Lynx,Tahlia Tupaea,Sydney Uni Flames (Australia),,0,,,,,,,
1,2016,Seattle Storm,Breanna Stewart,,UConn,6,183,35.2,0.237,32.4,20.3,8.6,2.9
2,2016,San Antonio Stars,Moriah Jefferson,,UConn,6,140,5.7,0.07,23.3,9.1,2.1,3.6
3,2016,Connecticut Sun,Morgan Tuck,,UConn,5,125,2.5,0.059,13.6,5.1,2.2,0.8
4,2016,Connecticut Sun,Rachel Banham,,Minnesota,7,190,4.7,0.074,13.3,5.2,1.1,1.5
5,2016,Dallas Wings,Aerial Powers,,Michigan State,7,153,7.7,0.096,21.1,11.4,3.5,1.7
6,2016,Los Angeles Sparks,Jonquel Jones,,George Washington,6,196,31.3,0.258,24.8,13.6,8.3,1.6
7,2016,Washington Mystics,Kahleah Copper,,Rutgers University,7,216,7.4,0.065,21.1,10,3.4,1.2
8,2016,Phoenix Mercury,Courtney Williams,,South Florida,7,209,11.5,0.081,27.3,12.5,5.3,3
9,2016,Indiana Fever,Tiffany Mitchell,,South Carolina,7,209,3.5,0.029,23.3,9.6,2.5,1.8
10,2016,Chicago Sky,Imani McGee-Stafford,,Texas,4,121,3.7,0.089,13.8,4.4,4.2,0.6
11,2016,Atlanta Dream,Bria Holmes,,West Virginia,5,136,2.5,0.039,18.8,6.5,2.3,1.2
12,2016,New York Liberty,Adut Bulgak,,Florida State,2,12,0.2,0.092,7,3,2.4,0
13,2016,Atlanta Dream,Rachel Hollivay,,Rutgers University,2,39,0.2,0.022,8.2,1.2,1.9,0.1
14,2016,Minnesota Lynx,Jazmon Gwathmey,,James Madison University,3,60,-1.2,-0.052,15.8,4.5,1.8,0.8
15,2016,Los Angeles Sparks,Whitney Knight,,Florida Gulf Coast,1,10,-0.2,-0.198,3.8,0.6,0.5,0.2
16,2016,Atlanta Dream,Courtney Walker,,Texas A&M,0,,,,,,,
17,2016,Connecticut Sun,Jamie Weisner,,Oregon State,1,7,0,0.029,3.6,1.7,0.4,0.3
18,2016,Dallas Wings,Ruth Hamblin,,Oregon State,1,20,-0.2,-0.049,6.5,1.1,1.5,0.2
19,2016,Washington Mystics,Lia Galdeira,,Washington State,0,,,,,,,
20,2016,Phoenix Mercury,Jillian Alleyne,,Oregon,2,7,0,0.025,3.1,0.6,1.3,0.1
21,2016,Indiana Fever,Brene Moseley,,Maryland,1,8,-0.6,-0.323,9.6,1.9,0.4,1.1
22,2016,Minnesota Lynx,Bashaara Graves,,Tennessee,2,22,0,0.003,6,1.4,1.2,0.3
23,2016,Los Angeles Sparks,Brianna Butler,,Syracuse,0,,,,,,,
24,2016,New York Liberty,Ameryst Alston,,Ohio State,2,3,0,0.035,1,0.7,0.7,0.3
25,2016,San Antonio Stars,Brittney Martin,,Oklahoma State,0,,,,,,,
26,2016,Seattle Storm,Lexi Eaton Rydalch,,BYU,0,,,,,,,
27,2016,Connecticut Sun,Aliyyah Handford,,St. John's,0,,,,,,,
28,2016,Atlanta Dream,Niya Johnson,,Baylor,0,,,,,,,
29,2016,Los Angeles Sparks,Talia Walton,,Washington,0,,,,,,,
30,2016,Dallas Wings,Shakena Richardson,,Seton Hall,0,,,,,,,
31,2016,Washington Mystics,Danaejah Grant,,St. John's,0,,,,,,,
32,2016,Phoenix Mercury,Nirra Fields,,UCLA,1,4,-0.2,-0.466,4.3,0.8,0,0
33,2016,Indiana Fever,Julie Allemand,Castors Braine (Belgium),,2,47,1.8,0.064,23.8,5.6,3,4.5
34,2016,Chicago Sky,Jordan Jones,,Texas A&M,0,,,,,,,
35,2016,Minnesota Lynx,Temi Fagbenle,,USC,3,69,1.1,0.067,9.3,3.1,1.9,0.5
36,2016,New York Liberty,Shacobia Barbee,,Georgia,0,,,,,,,
1,2015,Seattle Storm,Jewell Loyd,,Notre Dame,8,252,21.3,0.116,29.3,15.3,3.4,3.1
2,2015,Tulsa Shock,Amanda Zahui B.,,Minnesota,7,197,4.1,0.053,15.7,6.2,4,0.7
3,2015,Seattle Storm,Kaleena Mosqueda-Lewis,,UConn,6,157,0.4,0.008,12.5,5.1,1.1,0.6
4,2015,Connecticut Sun,Elizabeth Williams,,Duke,8,238,18.4,0.12,25.8,8.4,5.8,1.1
5,2015,Chicago Sky,Cheyenne Parker,,Middle Tennessee,8,215,11.5,0.117,18.3,8,4.8,0.9
6,2015,San Antonio Stars,Dearica Hamby,,Wake Forest,8,242,14.6,0.108,22.3,9.2,5.6,1.4
7,2015,Los Angeles Sparks,Crystal Bradford,,Central Michigan University,2,39,0.9,0.06,14.9,6.5,2.8,1.1
8,2015,Washington Mystics,Ally Malott,,Dayton,2,47,0.2,0.024,8.4,2.7,1,0.4
9,2015,New York Liberty,Brittany Boyd,,California,6,130,3.3,0.056,18.4,6.2,3.2,3.9
10,2015,Atlanta Dream,Samantha Logic,,Iowa,1,27,-0.9,-0.106,12.7,1.8,1.4,1.1
11,2015,New York Liberty,Kiah Stokes,,UConn,7,202,12.7,0.123,20.4,4.3,5.8,0.8
12,2015,Phoenix Mercury,Isabelle Harrison,,Tennessee,6,167,8,0.092,20.7,8.6,4.9,1.1
13,2015,Tulsa Shock,Brianna Kiesel,,Pitt,3,57,-0.4,-0.019,13.9,3.5,0.7,1.6
14,2015,Los Angeles Sparks,Cierra Burdick,,Tennessee,5,56,0.8,0.073,7.4,1.8,1.4,0.5
15,2015,Washington Mystics,Natasha Cloud,,Saint Joseph's,7,211,10.9,0.078,26.5,7.3,3,4.9
16,2015,Minnesota Lynx,Reshanda Gray,,California,6,141,1.5,0.038,11.2,3.8,3.1,0.3
17,2015,Chicago Sky,Betnijah Laney,,Rutgers University,7,166,3.6,0.039,22.1,8.3,3.2,2.3
18,2015,Phoenix Mercury,Alex Harden,,Wichita State,2,60,-0.1,-0.005,10,1.8,1.1,0.7
19,2015,Connecticut Sun,Brittany Hrynko,,DePaul,1,7,-0.2,-0.365,2.6,0.3,0,0.1
20,2015,Seattle Storm,Vicky McIntyre,,Oral Roberts,0,,,,,,,
21,2015,Indiana Fever,Chelsea Gardner,,Kansas,0,,,,,,,
