overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
61,2001,Phoenix Mercury,Megan Franza,,Washington,0,,,,,,,
62,2001,Sacramento Monarchs,Katie Smrcka-Duffy,,Georgetown,0,,,,,,,
63,2001,Houston Comets,Kristen Clement,,Tennessee,0,,,,,,,
64,2001,Los Angeles Sparks,Beth Record,,Syracuse,0,,,,,,,
1,2000,Cleveland Rockers,Ann Wauters,Valenciennes (France),,9,220,20.2,0.153,24,9.9,5.1,1.3
2,2000,Washington Mystics,Tausha Mills,Chicago Condors (ABL),Alabama,5,99,0.4,0.018,8.8,2.7,2.6,0.2
3,2000,Detroit Shock,Edwina Brown,,Texas,5,130,-0.5,-0.007,19.4,5.1,2.7,2.2
4,2000,Orlando Miracle,Cintia dos Santos,Brazil,,3,68,1.4,0.049,16.8,4.9,2.4,0.7
5,2000,Minnesota Lynx,Grace Daley,,Tulane,4,71,1.4,0.066,12.1,3.7,1.5,1.2
6,2000,Minnesota Lynx,Betty Lennox,,Louisiana Tech,12,320,17.1,0.087,24.6,12.1,4.1,2
7,2000,Portland Fire,Lynn Pride,,Kansas,4,112,0.7,0.015,16.6,3.8,3,1
8,2000,Detroit Shock,Tamicha Jackson,,Louisiana Tech,7,151,2.6,0.035,19.5,6.8,1.7,2.6
9,2000,Seattle Storm,Kamila Vodichkova,BK Gambrinus,,7,202,13.3,0.11,24,8.8,5.1,1.4
10,2000,Minnesota Lynx,Maylana Martin,,UCLA,2,61,0.7,0.031,15.6,3.7,2.5,0.7
11,2000,Charlotte Sting,Summer Erb,,NC State,3,78,1.4,0.072,9.8,3,2.2,0.3
12,2000,Utah Starzz,Naomi Mulitauaopele,,Stanford,1,22,0.1,0.016,13.2,4.5,1.5,0.3
13,2000,New York Liberty,Olga Firsova,,Kansas State,1,9,0.1,0.128,2.1,1.3,0.4,0.1
14,2000,Sacramento Monarchs,Katy Steding,Portland Power (ABL),Stanford,2,55,1.1,0.064,12.8,3.5,1.3,0.7
15,2000,Los Angeles Sparks,Nicole Kubik,,Nebraska,2,7,0,-0.009,5.7,1.1,0.6,1
16,2000,Houston Comets,Elena Shakirova,Russia,,3,41,1.5,0.163,8.7,2.3,1.6,0.3
17,2000,Cleveland Rockers,Helen Darling,,Penn State,10,322,5.7,0.036,19.8,4.1,2,2.8
18,2000,Washington Mystics,Tonya Massaline,,Florida,4,98,0.2,0.008,9.7,2.6,1.2,0.4
19,2000,Miami Sol,Jameka Jones,,UNC Charlotte,1,21,-0.8,-0.134,11.1,3.3,1,0.5
20,2000,Orlando Miracle,Jannon Roland,New England Blizzard (ABL),Purdue,1,21,-0.5,-0.113,8.2,1.6,0.8,0.4
21,2000,Phoenix Mercury,Adrian Williams-Strong,,USC,8,242,6,0.051,19.3,5.7,4.7,0.7
22,2000,Minnesota Lynx,Marla Brumfield,,Rice University,3,84,0.9,0.035,11.7,2.2,1.1,1
23,2000,Portland Fire,Stacey Thomas,,Michigan,6,145,2.4,0.042,15.9,3,2.4,1.6
24,2000,Minnesota Lynx,Keitha Dickerson,,Texas Tech,2,36,0.2,0.01,22.1,3.9,3.9,1.7
25,2000,Seattle Storm,Charisse Sampson,New England Blizzard (ABL),Kansas,1,21,1.2,0.176,13.3,3.7,2,0.5
26,2000,Indiana Fever,Jurgita Streimikyte,Pool Comense (Italy),,3,88,4.6,0.101,20.6,6.3,3.5,1.5
27,2000,Charlotte Sting,Tiffany Travis,,Florida,1,32,0.5,0.035,17.9,5.4,2.5,0.8
28,2000,Detroit Shock,Madinah Slaise,,Cincinnati,1,3,0.1,0.407,2.3,1.3,0.3,0
29,2000,New York Liberty,Desiree Francis,,Iowa State,1,1,0,-0.564,2,0,0,0
30,2000,Sacramento Monarchs,Stacy Clinesmith,,UC Santa Barbara,3,54,0.9,0.076,8.6,1.9,0.7,1.5
31,2000,Los Angeles Sparks,Paige Sauer,,UConn,3,15,0.1,0.05,5.1,1.5,1.3,0.2
32,2000,Houston Comets,Andrea Garner,,Penn State,1,32,-0.6,-0.046,17.5,3.1,3,0.8
33,2000,Cleveland Rockers,Monique Morehouse,New England Blizzard (ABL),Auburn,0,,,,,,,
34,2000,Charlotte Sting,Jill Morton,,Louisville,0,,,,,,,
35,2000,Utah Starzz,Stacy Frese,,Iowa State,1,21,0.6,0.115,10.6,3,0.9,0.8
36,2000,Orlando Miracle,Shawnetta Stewart,,Rutgers University,0,,,,,,,
37,2000,Phoenix Mercury,Tauja Catchings,,Illinois,0,,,,,,,
38,2000,Minnesota Lynx,Phylesha Whaley,,Oklahoma,0,,,,,,,
39,2000,Portland Fire,Maxann Reese,,Michigan State,0,,,,,,,
40,2000,Miami Sol,Milena Flores,,Stanford,1,32,-0.2,-0.017,14.8,3.5,0.7,1.5
41,2000,Seattle Storm,Kirra Jordan,,Rice University,0,,,,,,,
42,2000,Indiana Fever,Usha Gilmore,,Rutgers University,1,4,-0.2,-0.318,5.3,0.5,1.3,0.5
43,2000,Charlotte Sting,Peppi Browne,,Duke,0,,,,,,,
44,2000,Detroit Shock,Chavonne Hammond,,Vanderbilt,0,,,,,,,
45,2000,New York Liberty,Jessica Bibby,Dandenong Rangers (Australia),,1,17,-0.2,-0.096,4.1,1.1,0.3,0.6
46,2000,Sacramento Monarchs,Rhonda Banchero,,Washington,1,9,-0.1,-0.119,2.3,0.7,0.3,0.1
47,2000,Los Angeles Sparks,Marte Alexander,,Arizona,0,,,,,,,
